Ticket_Number,GDS_Record_Locator,Reservation_Date,Ticket_Issue_Date,Trip_Departure_Date,Airline_Name,Cabin_Class,Domestic_International_Indicator,Origin_City_Code,Destination_City_Code,Routing,Invoice_Amount,Tax_Amount,Total_Amount,Mileage,Days_Advance_Purchase,Trip_Length,One_Way_Indicator,Exchange_Indicator,Exchange_Original_Ticket_Number,Refund_Indicator,Original_Invoice_Number,Online_Booking_Indicator,Fare_Category,Agency
OMO783,ADGWLM,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,IND,BWI,IND/BWI/IND,303.26,44.74,348,1029.040593,5,4,NULL,N,NULL,N,NULL,N,YCA,Agency A
OMI6W2,ADJLWJ,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,-132.09,-38.11,-170.2,-894.5282589,-1,-1,NULL,N,NULL,Y,NULL,N,YCA,Agency A
OGH4DM,ADJLWJ,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,132.09,38.11,170.2,894.5282589,3,1,NULL,N,NULL,N,NULL,N,YCA,Agency A
OFRX96,ADLBJA,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DAL,SAT,DAL/SAT/DAL,321.86,52.34,374.2,496.1363983,5,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
NZ38CHLM6LV,ADTQQG,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MCI,BWI,MCI/MDW/BWI,-196.28,-36.72,-233,-1015.474395,-1,-1,NULL,N,NULL,Y,NULL,N,YCA,Agency A
NW38CHTA6LR,ADTQQG,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MCI,BWI,MCI/MDW/BWI,196.28,36.72,233,1015.474395,2,1,NULL,N,NULL,N,NULL,N,YCA,Agency A
MZMNPM,AEPCLU,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,161.86,40.34,202.2,761.3834087,3,1,NULL,N,NULL,N,NULL,N,YCA,Agency A
MZHC8A,AEYXQF,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MSP,MDW,MSP/MDW,109.77,22.33,132.1,347.6464605,0,1,NULL,N,NULL,N,NULL,N,YCA,Agency A
MYW5BL,AFEYPV,00:00.0,00:00.0,00:00.0,BERING AIR INC,Coach,D,ANC,IAN,ANC/OTZ/IAN/OTZ/ANC,162,NULL,162,1211.660135,12,16,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
MYKNPJ,AFJHQF,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,113.48,36.72,150.2,894.5282589,5,2,NULL,N,NULL,N,NULL,N,_CA,Agency A
MXK92Q,AFLWQO,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SAN,SFO,SAN/SFO,75.35,16.55,91.9,447.2639429,3,1,NULL,N,NULL,N,NULL,NULL,YCA,Agency A
MWJQDM,AFRKGV,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,MSP,MDW/MSP/MDW,198.14,36.86,235,695.2925979,6,3,NULL,N,NULL,N,NULL,N,YCA,Agency A
MTG59V,AGCISF,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,MSP,MDW/MSP/MDW,176.74,35.26,212,695.2925979,5,3,NULL,N,NULL,N,NULL,N,_CA,Agency A
MS38CHR96JN,AGLPXQ,00:00.0,00:00.0,00:00.0,ALASKA AIR TRANSIT,Coach,D,ANC,MCG,ANC/MCG,270,NULL,270,218.6287254,1,2,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
MRHQQ3,AGPIJO,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,MSP,MDW/MSP/MDW,219.54,44.66,264.2,695.2925979,5,3,NULL,N,NULL,N,NULL,N,YCA,Agency A
MRGGM,AGXLLL,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,GEG,BOI,GEG/BOI/GEG,338.6,47.4,386,575.0129505,5,3,NULL,N,NULL,N,NULL,N,YCA,Agency A
MONETTA A,AHDFVJ,00:00.0,00:00.0,00:00.0,BERING AIR INC,Coach,D,OTZ,BKC,OTZ/BKC/OTZ,301.4,22.6,324,150.0243504,7,12,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
MMJJTG,AHDNVB,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,LAX,LAS,LAX/LAS/LAX,205.59,37.41,243,472.6694325,5,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
MLK5BL,AHQENS,00:00.0,00:00.0,00:00.0,UNITED AIRLINES,Coach,D,ORD,DTW,ORD/DTW_CLE/ORD,NULL,NULL,NULL,549.7721662,-1,2,NULL,N,NULL,N,NULL,N,Restricted Commercial,Agency A
MLGNPB,AJFSZD,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,MCI,DEN/MCI,82.79,17.11,99.9,542.3312036,5,1,NULL,N,NULL,N,NULL,Y,_CA,Agency A
MKQ59G,AJLVPS,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MCI,DCA,MCI/STL/DCA,-144.19,-32.61,-176.8,-955.1657985,-4,-1,NULL,N,NULL,Y,NULL,Y,DG,Agency A
MKIJSP,AJLVPS,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MCI,DCA,MCI/STL/DCA,144.19,32.61,176.8,955.1657985,4,1,NULL,N,NULL,N,NULL,Y,DG,Agency A
MKI3GU,AJTPBY,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ATL,MCO,ATL/MCO/ATL,202.8,37.2,240,808.8590748,5,5,NULL,N,NULL,N,NULL,Y,_CA,Agency A
MIGC8Q,AJVIZQ,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,CLE,MDW/CLE/MDW,333.02,46.98,380,614.7155373,6,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
MHOELJ,AKDUEW,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,113.48,30.52,144,894.5282589,17,4,NULL,N,NULL,N,NULL,N,_CA,Agency A
MHMCFB,AKRVZP,00:00.0,00:00.0,00:00.0,WRIGHT AIR SERVICE,Coach,D,FAI,HUS,FAI/HUS,190,NULL,190,202.570357,3,4,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
MGJ597,AKTQNI,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SLC,DEN,SLC/DEN/SLC,161.86,33.94,195.8,761.3834087,3,3,NULL,N,NULL,N,NULL,NULL,YCA,Agency A
MGCQDF,AKXWUH,00:00.0,00:00.0,00:00.0,ILIAMNA AIR TAXI,Coach,D,ILI,ANC,ILI/ANC/AKN/ANC/ILI,460,NULL,460,965.6964933,14,19,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
MG8JSO,AKYTIX,00:00.0,00:00.0,00:00.0,WRIGHT AIR SERVICE,Coach,D,FAI,AET,FAI/AET,170,NULL,170,182.2676292,2,3,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
MG7JSE,ALGIBW,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,PHX,LAX,PHX/LAX/PHX,190.7,36.3,227,739.2948671,4,5,NULL,N,NULL,N,NULL,N,YCA,Agency A
MEW592,ALXUTZ,00:00.0,00:00.0,00:00.0,BERING AIR INC,Coach,D,OME,OTZ,OME/OTZ,300,NULL,300,183.0932801,4,5,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
MDZR2Z,AMKXZY,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,133.02,31.98,165,761.3834087,1,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
M9ZJTY,AMQTAF,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,BWI,ABQ,BWI/HOU/ABQ/HOU/BWI,-370.24,-68.76,-439,-4010.434956,0,-3,NULL,N,NULL,Y,NULL,Y,YCA,Agency A
M9RK6S,AMQTAF,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,BWI,ABQ,BWI/HOU/ABQ/HOU/BWI,370.24,68.76,439,4010.434956,7,3,NULL,N,NULL,N,NULL,Y,YCA,Agency A
M8FJTJ,ANDLEC,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,MDW,DEN/MDW/DEN,327.45,46.55,374,1811.048674,5,7,NULL,N,NULL,N,NULL,N,YCA,Agency A
M88JS8,ANUBYR,00:00.0,00:00.0,00:00.0,LAKE AND PEN AIR,Coach,D,ANC,PTA,ANC/PTA/ANC,490,NULL,490,322.5596914,5,8,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
M7HCFX,ANVTZO,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ATL,FLL,ATL/FLL/ATL,228.84,45.36,274.2,1164.534197,5,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
M5MNP8,AOHWKI,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MSP,ATL,MSP/ATL/MSP,247.44,40.56,288,1816.343957,4,6,NULL,N,NULL,N,NULL,N,_CA,Agency A
M5IK65,AOOFEG,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SLC,DEN,SLC/DEN/SLC,-97.9,0,-97.9,-761.3834087,-10,-13,NULL,N,NULL,Y,NULL,Y,YCA,Agency A
M5DCFX,AOOFEG,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SLC,DEN,SLC/DEN/SLC,161.86,33.94,195.8,761.3834087,5,13,NULL,N,NULL,N,NULL,Y,YCA,Agency A
M4BB23,APKKXB,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ATL,JAX,ATL/JAX/ATL,231.62,45.58,277.2,540.9299457,5,5,NULL,N,NULL,N,NULL,N,YCA,Agency A
M3WWJ2,APKKXB,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,JAX,ATL,JAX/ATL,NULL,NULL,NULL,270.4648337,1,1,NULL,N,NULL,N,NULL,N,Unrestricted Commercial ,Agency A
M3NC8Z,AQDTPZ,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,113.48,36.72,150.2,894.5282589,5,3,NULL,N,NULL,N,NULL,N,_CA,Agency A
M3ANPF,AQFXVS,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DAL,ABQ,DAL/ABQ/DAL,520.94,61.06,582,1159.039548,5,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
M38NP2,AQOAHX,00:00.0,00:00.0,00:00.0,ALASKA MARINE HIGHWAY (FERRY),Coach,D,HNS,BLI,HNS/BLI,317.7,NULL,317.7,891.8116759,0,1,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
M2XJT8,AQVLSI,00:00.0,00:00.0,00:00.0,KODIAK ISLAND AIR,Coach,D,ADQ,ORI,ADQ/ORI/ADQ,120,NULL,120,32.23240486,1,3,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
M2WCFQ,AQXDQI,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,MSP,MDW/MSP/MDW,219.54,44.66,264.2,695.2925979,3,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
KF28CI3T5HA,AQYBEB,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DAL,LBB,DAL/LBB/DAL,329.3,46.5,375.8,585.7697514,5,2,NULL,N,NULL,N,NULL,Y,YCA,Agency A
JB28CI185HX,AQZEUJ,00:00.0,00:00.0,00:00.0,ALASKA AIR TRANSIT,Coach,D,ANC,MCG,ANC/MCG,260,NULL,260,218.6287254,9,10,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
HENNIG CH,ARFOID,00:00.0,00:00.0,00:00.0,WARBELOWS AIR SERVICE,Coach,D,WBQ,FAI,WBQ/FAI/WBQ,262,NULL,262,215.679977,4,9,NULL,N,NULL,N,NULL,NULL,Restricted Commercial,Agency A
FU98CI9C4CQ,ARGPXF,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ELP,ABQ,ELP/PHX/ABQ/PHX/ELP,453.96,79.24,533.2,1347.807869,11,5,NULL,N,NULL,N,NULL,N,DG,Agency A
DOHERTY M,ARLHNH,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SAN,SFO,SAN/SFO,-56.74,-15.16,-71.9,-447.2639429,-1,-1,NULL,N,NULL,Y,NULL,Y,_CA,Agency A
DA88CGUS3BV,ARUHBY,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SDF,FLL,SDF/BWI/FLL/BWI/SDF,613.96,90.04,704,2845.6483,4,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
9997271172,ASTVIK,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MSP,MDW,MSP/MDW/MSP,198.14,36.86,235,695.2925979,3,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
9980316123,ASTVIK,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MSP,MDW,MSP/MDW/MSP,23,NULL,23,695.2925979,0,2,NULL,N,NULL,N,NULL,N,Unrestricted Commercial ,Agency A
9952115132,ASYCNZ,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,-63.86,-34.14,-98,-761.3834087,-1,-3,NULL,N,NULL,Y,NULL,NULL,YCA,Agency A
9924585710,ASYCNZ,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,161.86,34.14,196,761.3834087,4,3,NULL,N,NULL,N,NULL,NULL,YCA,Agency A
9913810413,ASZMJM,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,133.02,31.98,165,761.3834087,6,3,NULL,N,NULL,N,NULL,N,YCA,Agency A
9913161346,ATGYLW,00:00.0,00:00.0,00:00.0,BERING AIR INC,Coach,D,OME,WBB,OME/WBB/OME,468.84,35.16,504,235.9334057,4,7,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
9913154737,ATPANT,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,113.48,36.72,150.2,894.5282589,5,1,NULL,N,NULL,N,NULL,N,_CA,Agency A
9911731466,AUVJZR,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,-63.86,-34.14,-98,-761.3834087,-1,-3,NULL,N,NULL,Y,NULL,NULL,YCA,Agency A
984838710,AUVJZR,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,161.86,34.14,196,761.3834087,4,3,NULL,N,NULL,N,NULL,NULL,YCA,Agency A
9806102759,AVDDDR,00:00.0,00:00.0,00:00.0,ALASKA SEAPLANE,Coach,D,JNU,KAE,JNU/KAE/JNU,330,NULL,330,196.822318,15,16,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
9173163824,AVZXCM,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ATL,MCO,ATL/MCO_TPA/ATL,-100.47,-38.53,-139,-811.9379326,-4,-5,NULL,N,NULL,Y,NULL,NULL,_CA,Agency A
9108916638,AVZXCM,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ATL,MCO,ATL/MCO_TPA/ATL,220.47,38.53,259,811.9379326,5,5,NULL,N,NULL,N,NULL,NULL,_CA,Agency A
8971510020,AWKOVF,00:00.0,00:00.0,00:00.0,WRIGHT AIR SERVICE,Coach,D,FAI,FYU,FAI/FYU,140,NULL,140,143.6433413,4,5,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
8970901393,AWKOVF,00:00.0,00:00.0,00:00.0,WARBELOWS AIR SERVICE,Coach,D,FAI,FYU,FAI/FYU_FAI/ANC,140,NULL,140,403.036755,0,6,NULL,N,NULL,N,NULL,NULL,Restricted Commercial,Agency A
8970001301,AXOQHB,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ATL,TPA,ATL/TPA/ATL,238.14,39.66,277.8,815.0167464,5,2,NULL,N,NULL,N,NULL,Y,_CA,Agency A
8970000806,AYFBFX,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,ONT,DEN/ONT/DEN,333.02,48.18,381.2,1611.926273,5,3,NULL,N,NULL,N,NULL,Y,YCA,Agency A
8970000259,AYLPCH,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SNA,SFO,SNA/SFO/SNA,256.74,47.46,304.2,744.0654308,6,4,NULL,N,NULL,N,NULL,N,YCA,Agency A
8970000259,AYTRFY,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,LAX,SMF,LAX/SMF,188.84,25.16,214,373.7255598,6,1,NULL,N,NULL,N,NULL,Y,DG,Agency A
8970000117,AZBFME,00:00.0,00:00.0,00:00.0,WARBELOWS AIR SERVICE,Coach,D,CXF,BTT,CXF/BTT/CXF,190,NULL,190,84.40769472,15,24,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
8970000117,AZCFIM,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,I,ATL,SJU,ATL/FLL/SJU/MCO/ATL,370,63,433,3223.691302,5,12,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
8970000117,AZXQIR,00:00.0,00:00.0,00:00.0,WRIGHT AIR SERVICE,Coach,D,FAI,BTT,FAI/BTT/FAI,340,NULL,340,356.809285,8,11,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
8970000117,AZXYQW,00:00.0,00:00.0,00:00.0,LAKE CLARK AIR,Coach,D,ANC,PTA,ANC/PTA/ANC,483.75,NULL,483.75,322.5596914,8,10,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
8970000117,BAMWZG,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,FLL,ATL,FLL/ATL,114.42,19.58,134,582.2669789,7,1,NULL,N,NULL,N,NULL,N,YCA,Agency A
8970000117,BARICV,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,113.48,30.52,144,894.5282589,5,1,NULL,N,NULL,N,NULL,N,_CA,Agency A
8969028848,BAZCDU,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,PHX,BWI,PHX/BWI,267.91,34.19,302.1,1995.975846,4,1,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969028479,BBBNLV,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,HOU,MCI,HOU/DAL/MCI/DAL/HOU,-433.48,-74.62,-508.1,-1403.242537,-1,-5,NULL,N,NULL,Y,NULL,Y,YCA,Agency A
8969027910,BBBNLV,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,HOU,MCI,HOU/DAL/MCI/DAL/HOU,433.48,74.62,508.1,1403.242537,4,5,NULL,N,NULL,N,NULL,Y,YCA,Agency A
8969025216,BBTSAT,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,TPA,ATL,TPA/ATL/TPA,325.58,46.42,372,815.0167464,4,6,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969021950,BCIJGK,NULL,00:00.0,00:00.0,DELTA AIR LINES,Coach,D,DCA,ATL,DCA/ATL,-124,0,-124,-547.8830405,-6,-1,NULL,N,NULL,Y,NULL,N,Restricted Commercial,Agency A
8969007228,BCXLPW,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SAN,SFO,SAN/SFO,56.74,15.26,72,447.2639429,3,1,NULL,N,NULL,N,NULL,NULL,_CA,Agency A
8969006827,BDPQMF,00:00.0,00:00.0,00:00.0,ALASKA,Coach,D,ANC,KPV,ANC/AKN/KPV/AKN/ANC_AKN/ANC,830,NULL,830,1291.70146,1,8,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
8969006713,BDWBOJ,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,CMH,BWI,CMH/BWI/CMH,293.95,44.05,338,671.3127667,6,3,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969006712,BDZVEQ,00:00.0,00:00.0,00:00.0,WARBELOWS AIR SERVICE,Coach,D,BTT,CXF,BTT/CXF,190,NULL,190,42.20387631,1,2,NULL,N,NULL,N,NULL,NULL,Restricted Commercial,Agency A
8969006712,BEDXDQ,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,MSP,MDW/MSP/MDW,219.54,38.46,258,695.2925979,5,3,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969006710,BFEQIH,NULL,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,CLE,MDW/CLE/MDW,-333.02,-46.98,-380,-614.7155373,0,-2,NULL,N,NULL,Y,NULL,N,YCA,Agency A
8969006710,BFEQIH,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,CLE,MDW/CLE/MDW,333.02,46.98,380,614.7155373,4,2,N,N,NULL,N,NULL,N,YCA,Agency A
8969006709,BFMFCB,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,113.48,36.72,150.2,894.5282589,5,2,NULL,N,NULL,N,NULL,N,_CA,Agency A
8969006708,BGBSXO,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SAN,SFO,SAN/SFO/SAN,150.7,33.3,184,894.5282589,4,6,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969006708,BHEXDV,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,161.86,34.14,196,761.3834087,6,1,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969006707,BIGZEY,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DTW,MDW,DTW/MDW,181.4,27.7,209.1,229.139745,0,1,NULL,N,NULL,N,NULL,N,DG,Agency A
8969006707,BIJRSR,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SLC,DEN,SLC/DEN/SLC,161.86,34.14,196,761.3834087,2,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969006705,BIOQNI,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,MDW,CMH,MDW/CMH/MDW,336.74,47.06,383.8,569.2650393,3,2,NULL,N,NULL,N,NULL,NULL,YCA,Agency A
8969006705,BIQOZA,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,113.48,30.52,144,894.5282589,6,5,NULL,N,NULL,N,NULL,N,_CA,Agency A
8969006648,BIQOZA,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,SFO,SAN,SFO/SAN/SFO,NULL,NULL,NULL,894.5282589,-1,5,NULL,N,NULL,N,NULL,N,Restricted Commercial,Agency A
8969006647,BIRLQM,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,DEN,SLC,DEN/SLC/DEN,133.02,38.18,171.2,761.3834087,5,2,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969006647,BJGQBJ,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,TUS,SAN,TUS/SAN/TUS,372.1,56.1,428.2,733.0909464,5,5,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969006645,BJHOLE,00:00.0,00:00.0,00:00.0,SOUTHWEST AIR,Coach,D,ELP,SAT,ELP/DAL/SAT/ELP,494.88,73.82,568.7,1307.242159,5,5,NULL,N,NULL,N,NULL,N,YCA,Agency A
8969006645,BJYOKW,00:00.0,00:00.0,00:00.0,GRANT AVIATION,Coach,D,FAI,EMK,FAI/ANC/EMK/ANC/FAI,850,NULL,850,1485.030787,6,35,NULL,N,NULL,N,NULL,NULL,Unrestricted Commercial ,Agency A
